Domain,Num_Params,Param_Names,Param_Values,No.
zo88win.biz,8,"a, utm_source, utm_medium, utm_campaign, utm_term, utm_content, fbclid, utm_id","4befc48f97632460149302b8e346a1ca, toshiba, conversion, facebookads, 120237257940800128, toshiba-ldp10, IwdGRjcAOm08lleHRuA2FlbQEwAGFkaWQBqysmLsyRAHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6jeQjXfF7mSI3n8X6WzPMBAP8P8lPtXwmjLw7j9E1lbbyZQ8-DbAOvXsznnA_aem_FYoUZSHGRytRzU9-9A6UuQ, 120237257940820128",21
https://khuyenmai.fe777.live/rc-the-thao-dinh-cao?a=d74d51c7c89bcbab3c373a3d299e0744&utm_campaign=facebookads&utm_source=facebookads&utm_medium=paid-social&utm_term=120237597493300156&fbclid=IwdGRjcAOm0-1leHRuA2FlbQEwAGFkaWQBqyt1P_0arHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5Nkr3ZfZfSLbZbubYQmh88UZ3B1r3vkJYADGfrWCCLiN7NA3LzF-YD1A9I-w_aem_fVyi2L8xv2YAa5BbiTL9Bg&utm_id=120237597493290156&utm_content=120237597493300156,0,Error,"HTTPSConnectionPool(host='khuyenmai.fe777.live', port=443): Max retries exceeded with url: /rc-the-thao-dinh-cao?a=d74d51c7c89bcbab3c373a3d299e0744&utm_campaign=facebookads&utm_source=facebookads&utm_medium=paid-social&utm_term=120237597493300156&fbclid=IwdGRjcAOm0-1leHRuA2FlbQEwAGFkaWQBqyt1P_0arHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5Nkr3ZfZfSLbZbubYQmh88UZ3B1r3vkJYADGfrWCCLiN7NA3LzF-YD1A9I-w_aem_fVyi2L8xv2YAa5BbiTL9Bg&utm_id=120237597493290156&utm_content=120237597493300156 (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1077)')))",22
dk.haywinvip.live,7,"a, utm_campaign, utm_medium, utm_term, utm_content, fbclid, utm_id","51c26a57d552ad4c2f9efde95a4c99c3, facebookads, conversion, 120238703414190468, alwayson, IwdGRjcAOm1AVleHRuA2FlbQEwAGFkaWQBqyx2tuG89HNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6ULpLPilk89w0V8tCgwq-LGKg7genX2OGJPYiFeekaNts_WYGAFaDjF2BeCA_aem_VL40OXOICVv8wgZHE7iTpw, 120238703414170468",23
https://tai.bongdabu88.co/?a=exo_bc5519454dfeb7fe584a62238239966a&utm_campaign=facebookads&utm_source=fbxypo&utm_medium=conversion&utm_term=120238216800780579&utm_content=bong&fbclid=IwdGRjcAOm1BhleHRuA2FlbQEwAGFkaWQBqywFsJxHI3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6ULpLPilk89w0V8tCgwq-LGKg7genX2OGJPYiFeekaNts_WYGAFaDjF2BeCA_aem_ZxwbuFoJLhIO87n9HBo90Q&utm_id=120238216800760579,0,Error,"HTTPSConnectionPool(host='tai.bongdabu88.co', port=443): Max retries exceeded with url: /?a=exo_bc5519454dfeb7fe584a62238239966a&utm_campaign=facebookads&utm_source=fbxypo&utm_medium=conversion&utm_term=120238216800780579&utm_content=bong&fbclid=IwdGRjcAOm1BhleHRuA2FlbQEwAGFkaWQBqywFsJxHI3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6ULpLPilk89w0V8tCgwq-LGKg7genX2OGJPYiFeekaNts_WYGAFaDjF2BeCA_aem_ZxwbuFoJLhIO87n9HBo90Q&utm_id=120238216800760579 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",24
qc.choifive88.live,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","78e8f11f035dc1dc62bdcb3ed8b675a6, facebookads, ben10, conversion, 120237898632440111, awo, IwdGRjcAOm1DFleHRuA2FlbQEwAGFkaWQBqyu7VwFtL3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6ULpLPilk89w0V8tCgwq-LGKg7genX2OGJPYiFeekaNts_WYGAFaDjF2BeCA_aem_u_wfCrYDvybt2D2ykcFB6A, 120237898261420111",25
https://vao.eventlucky88.info/?a=5b1c56985d5a0c68fb69eaa340920da1&utm_campaign=facebookads&utm_source=bon&utm_medium=conversion&utm_term=event&utm_content=bong&fbclid=IwdGRjcAOm1FNleHRuA2FlbQEwAGFkaWQBqyKz5DwJM3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6ULpLPilk89w0V8tCgwq-LGKg7genX2OGJPYiFeekaNts_WYGAFaDjF2BeCA_aem_lGpFrbh_vdbbI7u5Zrtq8Q&utm_id=120227970886950243,0,Error,"HTTPSConnectionPool(host='vao.eventlucky88.info', port=443): Max retries exceeded with url: /?a=5b1c56985d5a0c68fb69eaa340920da1&utm_campaign=facebookads&utm_source=bon&utm_medium=conversion&utm_term=event&utm_content=bong&fbclid=IwdGRjcAOm1FNleHRuA2FlbQEwAGFkaWQBqyKz5DwJM3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6ULpLPilk89w0V8tCgwq-LGKg7genX2OGJPYiFeekaNts_WYGAFaDjF2BeCA_aem_lGpFrbh_vdbbI7u5Zrtq8Q&utm_id=120227970886950243 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",26
wp.may88vv.club,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","528056fe32ad9e665f640a427fec3a66, facebookads, inhouse, appinstall, 120239926301280624, taigame, IwdGRjcAOm1IpleHRuA2FlbQEwAGFkaWQBqy2Tgc0wMHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5DKuiuYCHN0qZUhmWB1NPKM1eb9p6pve_IXbUjdU3zUNkgNRFjpR3ujjb75A_aem__H2u1RoZ9aWNVIhPrxBavA, 120239926301270624",27
https://lp.de88vkl.pro/?a=exo_0b65b2b3a85c3803fa2f101bfc40f493&utm_campaign=fbads&utm_source=fbherrytran&utm_medium=conversion&utm_term=120238422412590708&utm_content=bong&fbclid=IwdGRjcAOm1JxleHRuA2FlbQEwAGFkaWQBqyw1T8PL1HNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5DKuiuYCHN0qZUhmWB1NPKM1eb9p6pve_IXbUjdU3zUNkgNRFjpR3ujjb75A_aem_F5Bbr_BB5n7bGy_5o533bQ&utm_id=120238422412150708,0,Error,"HTTPSConnectionPool(host='lp.de88vkl.pro', port=443): Max retries exceeded with url: /?a=exo_0b65b2b3a85c3803fa2f101bfc40f493&utm_campaign=fbads&utm_source=fbherrytran&utm_medium=conversion&utm_term=120238422412590708&utm_content=bong&fbclid=IwdGRjcAOm1JxleHRuA2FlbQEwAGFkaWQBqyw1T8PL1HNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5DKuiuYCHN0qZUhmWB1NPKM1eb9p6pve_IXbUjdU3zUNkgNRFjpR3ujjb75A_aem_F5Bbr_BB5n7bGy_5o533bQ&utm_id=120238422412150708 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",28
https://winaz.it.com/?utm_source=spads&utm_medium=keonongang&utm_campaign=monie1&utm_term=nru&utm_content=content1&fbclid=IwdGRjcAOm1K1leHRuA2FlbQEwAGFkaWQBqztCXiLRW3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5sDuVGm4AqTmx7rH7zTSQMEXjL02JmmvY4WQN7deTsTkc8syw4G9u3rt63jw_aem_E2VQVCxkpnvS4ujraI-NUA&utm_id=120254969527320555,0,Error,"HTTPSConnectionPool(host='winaz.it.com', port=443): Max retries exceeded with url: /?utm_source=spads&utm_medium=keonongang&utm_campaign=monie1&utm_term=nru&utm_content=content1&fbclid=IwdGRjcAOm1K1leHRuA2FlbQEwAGFkaWQBqztCXiLRW3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5sDuVGm4AqTmx7rH7zTSQMEXjL02JmmvY4WQN7deTsTkc8syw4G9u3rt63jw_aem_E2VQVCxkpnvS4ujraI-NUA&utm_id=120254969527320555 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",29
https://lp.thegioitic88.biz/?a=five_c2719b75a2ab5edcab67d5d827d5b13a&utm_campaign=facebookads&utm_source=fred&utm_medium=conversion&utm_term=120234498437470625&utm_content=sport&fbclid=IwdGRjcAOm1MRleHRuA2FlbQEwAGFkaWQBqyijqfTDEXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5fQQ-ARrJmNrBwJUk0yLgoqWk_9M7pDXJHU_nQwM2wOX6ZrimJz90OlEc1dQ_aem_Wic8liF0haq62ALzl30V5w&utm_id=120234498430110625,0,Error,"HTTPSConnectionPool(host='lp.thegioitic88.biz', port=443): Max retries exceeded with url: /?a=five_c2719b75a2ab5edcab67d5d827d5b13a&utm_campaign=facebookads&utm_source=fred&utm_medium=conversion&utm_term=120234498437470625&utm_content=sport&fbclid=IwdGRjcAOm1MRleHRuA2FlbQEwAGFkaWQBqyijqfTDEXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5fQQ-ARrJmNrBwJUk0yLgoqWk_9M7pDXJHU_nQwM2wOX6ZrimJz90OlEc1dQ_aem_Wic8liF0haq62ALzl30V5w&utm_id=120234498430110625 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",30
