Domain,Num_Params,Param_Names,Param_Values,No.
camcpc.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnBQhleHRuA2FlbQEwAGFkaWQBqytdd019uHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6CLmHIbuQYK40Amy5_jt8TKGAp3H62v2CVKrwEdgnojcUoZplTxkj43C1T3w_aem_tunDxxWLzAFprA81SbFHqw, paid, fb, 120237494918810168, 120237494918830168, 120237494918820168, 120237494918810168",75
c3ga.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnBdRleHRuA2FlbQEwAGFkaWQBqywQVZHYNnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6pnIT8v4fXKAXkOMq5yFYVnAU3YWmcETYR06dHtSzcKojcZfMLXGONKnqXOg_aem_qhCeGdscrr7D0Db8cfP8WA, paid, fb, 120238263455480422, 120238263455500422, 120238263455490422, 120238263455480422",76
https://ega388.com/?fbclid=IwdGRjcAOnBiNleHRuA2FlbQEwAGFkaWQAAAZCKcgXdnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4SU5GfwniIwyB24zTg4_S3LeMVWgLgl1oUhHFUd4QztyITiS6iE1F3MWlEjA_aem_x5Q7HLycmXawTMDEicx5wg&utm_medium=paid&utm_source=fb&utm_id=6881235690454&utm_content=6881235690254&utm_term=6881235690654&utm_campaign=6881235690454,0,Error,"HTTPSConnectionPool(host='ega388.com', port=443): Max retries exceeded with url: /?fbclid=IwdGRjcAOnBiNleHRuA2FlbQEwAGFkaWQAAAZCKcgXdnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4SU5GfwniIwyB24zTg4_S3LeMVWgLgl1oUhHFUd4QztyITiS6iE1F3MWlEjA_aem_x5Q7HLycmXawTMDEicx5wg&utm_medium=paid&utm_source=fb&utm_id=6881235690454&utm_content=6881235690254&utm_term=6881235690654&utm_campaign=6881235690454 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ega388.com'. (_ssl.c:1077)"")))",77
bga147.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnIqxleHRuA2FlbQEwAGFkaWQAAAY4b1-AE3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7jk8ce82eJjORSKn8Ic1WKCU7lc9-PfeJuhmUUd2a2XaLR85lgU4av_mPTwA_aem_E_3qPXqvyzS2ka_0cBDhRg, paid, fb, 6839094179915, 6839094180315, 6839094180115, 6839094179915",78
gaz388.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnJF1leHRuA2FlbQEwAGFkaWQBqynvPoIDg3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7tApIQWqvbox-pcHp-EUK79XvrfFrFCqNQVILLlSLvtXtJ7BKdYJ_HTsQPOA_aem_52gc-Gttox1z2U9fGTBo2w, paid, fb, 120235922167760643, 120235922167740643, 120235922167750643, 120235922167760643",79
vuagae2.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnJJZleHRuA2FlbQEwAGFkaWQBqy1EYw9oOHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7HHjG4vA5jaqYGMlX2gM_Fc9m8r4NOKpzGFg2xX79rcm7vGc7-vUowR0eduA_aem_kMHj5plN3iCoyiyS2OVQ3A, paid, fb, 120239586746000264, 120239586746030264, 120239586746020264, 120239586746000264",80
gavui79.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnJQVleHRuA2FlbQEwAGFkaWQBqyz5ISQ1anNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR59GjfMyozJzRD9Uqd9yBFmDvE6m_X-m2k9nIhSl0vCKLxL8Er2YLQ3Y9na-A_aem_RI5X1VfwPq1twVi8VbJ8vw, paid, fb, 120239263239670058, 120239263239660058, 120239263239680058, 120239263239670058",81
ga90.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnJWNleHRuA2FlbQEwAGFkaWQBqy3ScZHpo3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4GWrV-NX4se2-YfeYCYJwX8oy9aPNQ44eT0WbZwX-unzJ0aw87xB68dgW3JA_aem_E8m4EImFthvAnqWD2DILQw, paid, fb, 120240196603670131, 120240196603660131, 120240196603680131, 120240196603670131",82
bj666.vip,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnJYlleHRuA2FlbQEwAGFkaWQBqyiQ_xyo9XNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5WF5dhIgE6xrFrSN9oWkgjCJzDwztaQr-HIYQPMz7AaKsmE8W_JbBYmy_XCg_aem_igJItalrTVPhtyc3rE3TaQ, paid, fb, 120234418123030117, 120234418123020117, 120234418123010117, 120234418123030117",83
wala79.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnKIVleHRuA2FlbQEwAGFkaWQBqyxjFbbeU3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4n3GCqQ6WGggz6XMG3CE4RTPJRYjhw18kdD5CEhXscl1KeeFYkcrlPUx3Xpg_aem_rmiaJ33Hn5I8UyJ5nYcdvQ, paid, fb, 120238618912820563, 120238618912840563, 120238618912830563, 120238618912820563",84
sv393.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnKOhleHRuA2FlbQEwAGFkaWQAAAZK0HoGU3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6SA5GrrNLSlkDasMX55Y-R7d7D9Lip6EbjDilKX1pFLTqqU0Ru2xcKJAPj-A_aem_Q27NKAwtHKHfRL5o7d-gGQ, paid, fb, 6918378409499, 6918378409299, 6918378409699, 6918378409499",85
https://ga62.net/?fbclid=IwdGRjcAOnKRBleHRuA2FlbQEwAGFkaWQBqzQkNkd3OnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5jxhvv9DEOYMFhb4bRJpj95b-JTNRXqT_klzLQJh5O63hdT7LkSWQV9_umXw_aem_ycZFVd5iPCY2OxH_ZZAjvQ&utm_medium=paid&utm_source=fb&utm_id=120247144782060362&utm_content=120247144782080362&utm_term=120247144782070362&utm_campaign=120247144782060362,0,Error,"HTTPSConnectionPool(host='ga62.net', port=443): Max retries exceeded with url: /?fbclid=IwdGRjcAOnKRBleHRuA2FlbQEwAGFkaWQBqzQkNkd3OnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5jxhvv9DEOYMFhb4bRJpj95b-JTNRXqT_klzLQJh5O63hdT7LkSWQV9_umXw_aem_ycZFVd5iPCY2OxH_ZZAjvQ&utm_medium=paid&utm_source=fb&utm_id=120247144782060362&utm_content=120247144782080362&utm_term=120247144782070362&utm_campaign=120247144782060362 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ga62.net'. (_ssl.c:1077)"")))",86
ga188.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnKSlleHRuA2FlbQEwAGFkaWQBqy34R3YUiXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5FvaQLAoSdI2M7DuRASSwQFt4VgqqIJETvpa6ezbd3v3CWriUreW7OYmo6SQ_aem_TTILobyGTQOBCYfTtgMP_g, paid, fb, 120240260088640281, 120240359306250281, 120240359306240281, 120240260088640281",87
ga235.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwZXh0bgNhZW0BMABhZGlkAasp7jOZT21zcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeg91b5rwDYg_pVLFtGAwt39Kmi9ksY9OHp1Y-lZzmUrW47Waw04KD26rZEEU_aem_E8kx1U6hQ_B-gOcQ8MIDYw, paid, fb, 120235917395050733, 120235917395070733, 120235917395060733, 120235917395050733",88
thomo388.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnKaxleHRuA2FlbQEwAGFkaWQBqzCoBK9cB3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7-yFev4xJH2254coRvqQv1W9Mpc-33APvZDCHVKiHUV9nArqoZP6wkYIgXHg_aem_AmeXyBIn0GmBS9BEjYsnZQ, paid, fb, 120243236571380311, 120243313065050311, 120243236671450311, 120243236571380311",89
ae668.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnKcVleHRuA2FlbQEwAGFkaWQBqytlZYaVQHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5TMB288zow22fa8XSV0Cyv6rKTOEWdHbgPVRuLEl3dg49wH5hTgTp2ZGWkdA_aem_3StBOkQaMATP9YxTA31ycw, paid, fb, 120237521078020224, 120237521078030224, 120237521078010224, 120237521078020224",90
sv252.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnKk1leHRuA2FlbQEwAGFkaWQBqy0w5FiUi3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4ZnJyhtOckcrmNTGciYvwGywV-JIvFgGGqHm6pE0aNkZqkNHpdmJHHPIEwCA_aem_6eQAPDUa1cK70nFUz26U-w, paid, fb, 120239502992840683, 120239502992890683, 120239502992830683, 120239502992840683",91
boga588.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnKmRleHRuA2FlbQEwAGFkaWQBqy0yv4iuVXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7D3i_j7ROH9NISaKWdQGwBqJxtqiEKcS-tMs-226WbelPNR6M72lmeWclDgg_aem_Txj5Ww7PAnttP_JqR0HM-w, paid, fb, 120239507731670613, 120239507731700613, 120239507731750613, 120239507731670613",92
dg45.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnKqlleHRuA2FlbQEwAGFkaWQAAAZKbJEzo3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5u6wh-_y6O6KCqgmmKTHEUnfRNu9auoLkRv5giiLi2J8O2khIjW49WiUF2sA_aem_WGLC8a7NnLtpdcZmE8M2ng, paid, fb, 6916715451027, 6916715450827, 6916715450627, 6916715451027",93
daga567.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnKxNleHRuA2FlbQEwAGFkaWQBqyrzFSre_3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6acbH4B5SHF-jMwmDBIjl3le-5LZfq1hAw2-JJJu8UjPOD_o7R3cOjyMvS7A_aem_c7Bz9VSaGl0AUgc9yt2Kvg, paid, fb, 120237036858870767, 120237036858890767, 120237036858880767, 120237036858870767",94
bj66v1.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnK9hleHRuA2FlbQEwAGFkaWQBqyv4hvvqZnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR51gjhXRMDoQXygvGd7q71jr49_TI-w448T9Vrl0DRmGwCRfk7Iw1NM1ao6Eg_aem_3YadXwb4Crg1tF_oBH5s8Q, paid, fb, 120238161347910374, 120238161347890374, 120238161347900374, 120238161347910374",95
sv667.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnK_hleHRuA2FlbQEwAGFkaWQBqzFVM6hR_HNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4QxfTzmRrjLO7s9zZ4xi3xvvQYTjs9OpFM61aKB6dKrw9pvUb440hmRYDJew_aem_qHunXCYWjZyenOkhr1jeYQ, paid, fb, 120244045582970348, 120244045582990348, 120244045582980348, 120244045582970348",96
gvui79.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnNUxleHRuA2FlbQEwAGFkaWQBqylE6vzwHXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4fCfTpN-SwBxoMhjhftWhrm-jlSA8ibZ2c6mcoPFLp731V6tbKUsR7Ru7tUg_aem_LKj6iP26-3xBYt5P7QSajw, paid, fb, 120235190615150141, 120235190615160141, 120235190615170141, 120235190615150141",97
gaz388.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnNcJleHRuA2FlbQEwAGFkaWQBqyoJsrIg43NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR53U-TKGDS2i4tDgG8QEaj7ncUEx2lQKpwib5us89jDvWqN4J1VBY0bEPXcMQ_aem_0q80OW5n40pq14z5AXDuDA, paid, fb, 120236035695630643, 120236035695650643, 120236035695640643, 120236035695630643",98
pzuvh75.v8logic.cn,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnNeRleHRuA2FlbQEwAGFkaWQAAAZI7Imm13NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6_hFolEdQD9XFjeiFKMA4tKeldsb19h3e8N1gIljeVf3Xs0J2gDEoy5ynbHA_aem_xREFtzdQZi6AoHvjqGwf2A, paid, fb, 6910265593687, 6910265594087, 6910265593887, 6910265593687",99
gta62.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnNhNleHRuA2FlbQEwAGFkaWQBqyyaiP98k3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7lHjylhr0zZ61GVU0lpyI-Nr5_Rp1FY1MXu55W5Ys9wH-cOljWh29moelbWw_aem_5_Xqp3NuKaQYFWBIWUOVYg, paid, fb, 120238856631400787, 120238856631390787, 120238856631410787, 120238856631400787",100
bga147.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnNp9leHRuA2FlbQEwAGFkaWQAAAY4b1-AE3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5E7P-oxQQDzNu2EOWeY-9v4qcoX_yD2P6X2_EfWmageOW7Ro41V14aB-6Oyg_aem_3Te3_dMd9UdW3_rGIZqbIg, paid, fb, 6839094179915, 6839094180315, 6839094180115, 6839094179915",101
bj6600.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnNsVleHRuA2FlbQEwAGFkaWQBqytvXPYnMnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5aZdb-5sWUJexIhLRPxLAEFNVRS_1gRE0Oo9MwShILhJGEOxUaCwCM0nm9rg_aem_9NoQlqFqKQhPOeop3IebiA, paid, fb, 120237572238770098, 120237572238780098, 120237572238760098, 120237572238770098",102
sv778.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnNt9leHRuA2FlbQEwAGFkaWQBqygCP5kx63NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7iA7CKzq__496FgvY1JGKQeFKrNFvnyRyrdaTp8dx1nFtyAcB7KnquKsa2Cw_aem_NzcxX9s0DLKfM4AQzVf2Zg, paid, fb, 120233767829420139, 120233767829460139, 120233767829430139, 120233767829420139",103
boga66.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnN31leHRuA2FlbQEwAGFkaWQBqyzjNR-7tnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5sq_jG1dqbXv-iUoCYXmyfNdX_TjyH6S9RwD6o6IPFEUl_iYqn-VHlriWroA_aem_NpDj8DmZEiqsiKnHQpHiqA, paid, fb, 120239168948010566, 120239168948030566, 120239168948020566, 120239168948010566",104
daga89.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnOFBleHRuA2FlbQEwAGFkaWQBqysP-hZRb3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4Yhfo9z0ImnA-_WM4zvmudZ3tG6yKOq_Q3OvDMf8Pl8XfaBO1eGpEg_BcEww_aem_dUeujrsdoeK0ekE_trAxhg, paid, fb, 120237160956860559, 120237160956870559, 120237160956880559, 120237160956860559",105
ec36.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnOH1leHRuA2FlbQEwAGFkaWQAAAZGSe6r-HNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7ORXJbRhAaurigyKQ_9ItsvZMNusA0xQjyOIJDYyNtbp60Pi8TZUIb8Oiw4A_aem_A_G5E9s4nwIJRUdaLcNoxw, paid, fb, 6898939332336, 6898939331536, 6898939332936, 6898939332336",106
thomo388.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnORdleHRuA2FlbQEwAGFkaWQBqzCoBK9cB3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7x2FkrE6ad-_pQki06C1tzj9sIntHNOwDxPLHw7cp0rQ72woBBVanVpJ3gWQ_aem_MlrrQ-f-UOkYo6E6Qt7VdQ, paid, fb, 120243236571380311, 120243313065050311, 120243236671450311, 120243236571380311",107
sv667.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnOWxleHRuA2FlbQEwAGFkaWQBqzFVM6hR_HNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5xouPf5cximh8ofI8MQzX-O72Pl0YtA7EfqMEuIGs-9kR5gUWSj8rJ9Tjduw_aem_T5NVvD-JunImibfMTyALjw, paid, fb, 120244045582970348, 120244045582990348, 120244045582980348, 120244045582970348",108
thomo678.vip,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnOb1leHRuA2FlbQEwAGFkaWQAAAZKdaMhC3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4vgRPuehqPvpJgqec0m7Hm8eCAKueaVlcu2xkrXFZEUaUWYrUJO3KOJdLTRw_aem_Uq83MrOn0mXPZfsSgMXgQg, paid, fb, 6916869887859, 6916869887459, 6916869887659, 6916869887859",109
bst88.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnOmRleHRuA2FlbQEwAGFkaWQBqy1nO-f7pnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6jxIRLhpbkSIzmSMqlfKYljC7jwDid9Ro9-UCWga0DSJFmuAEIE2WYlwqqJQ_aem_XHJIMOYPLwLTkvQ0HyPdcA, paid, fb, 120239734377750502, 120239734377730502, 120239734377740502, 120239734377750502",110
vuagae2.com,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnOqFleHRuA2FlbQEwAGFkaWQBqy1EScGX6HNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7qZ-dtBEF87Y4sQSWwgxzqJx2mVNxwfF86w8gwB3AR9BPrjXWoVUeHEvF7Jg_aem_lQDfZ_EmdevhhBG1RCwQYQ, paid, fb, 120239585396870264, 120239585396900264, 120239585396890264, 120239585396870264",111
bj6868.vip,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnOrhleHRuA2FlbQEwAGFkaWQBqyy76dfztnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6nHKK4cnTKDR7s6slYHbBNM4gnF5-yaWtnziQTmDuV96ytB55ejqHsYGKTYw_aem_qPapn5_sGpXKrinevuSDxg, paid, fb, 120238929939580566, 120239000598690566, 120238931692890566, 120238929939580566",112
dg45.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnOt9leHRuA2FlbQEwAGFkaWQAAAZKbJEzo3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4ARA6jyACt1P9f09q8-RputyPDZHbBpCmembCVwTlb0aUJl_DYPLyyN6C0Tg_aem_rVJqT4NkcA3xJ04ucUKFKQ, paid, fb, 6916715451027, 6916715450827, 6916715450627, 6916715451027",113
ga90.net,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOnO2BleHRuA2FlbQEwAGFkaWQBqy3ScZHpo3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR42RPUp4pHVd-u-4Qr4I6wSqvpSxvyx1vQMlqvP8hTqVaysF0kvdfAr00ADrg_aem_Q2q1D4wEv0C9uNrhzRx84g, paid, fb, 120240196603670131, 120240196603660131, 120240196603680131, 120240196603670131",114
